V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Name R3,Name R2,Name R1,Name B3,Name B2,Name B1,ResponseID,worktimeArray,tasktime,offTask,onTask,totalOnTask,totalOffTask,pageNo,perPagePT,ConsentForm,Consent,Q337,Gender,Gender_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,PixStatement,Q375,B1,B1_1,B1_2,B1_3,B1_4,B2,B2_1,B2_2,B2_3,B2_4,B3,B3_1,B3_2,B3_3,B3_4,TimerBlackInvis_1,TimerBlackInvis_2,TimerBlackInvis_3,TimerBlackInvis_4,BlackInvisibility_1,BlackInvisibility_2,BlackInvisibility_3,BlackInvisibility_4,BlackInvisibility_5,BlackInvisibility_6,BlackInvisibility_7,BlackInvisibility_8,TimerBlkConInvis_1,TimerBlkConInvis_2,TimerBlkConInvis_3,TimerBlkConInvis_4,BlkContemporaryInvis_1,BlkContemporaryInvis_2,BlkContemporaryInvis_3,BlkContemporaryInvis_4,BlkContemporaryInvis_5,BlkContemporaryInvis_6,TimerBlkRaceMini_1,TimerBlkRaceMini_2,TimerBlkRaceMini_3,TimerBlkRaceMini_4,BlkRacismMini_1,BlkRacismMini_2,BlkRacismMini_3,BlkRacismMini_4,BlkRacismMini_5,BlkRacismMini_6,BlkRacismMini_7,BlkRacismMini_8,BlkRacismMini_9,BlkRacismMini_10,TimerGovRep_1,TimerGovRep_2,TimerGovRep_3,TimerGovRep_4,BlkGovtRep_1,BlkGovtRep_2,BlkGovtRep_3,BlkGovtRep_4,BlkGovtRep_5,BlkGovtRep_6,BlkGovtRep_7,BlkGovtRep_8,BlkGovtRep_9,Q353,R1,R1_1,R1_2,R1_3,R1_4,R2,R2_1,R2_2,R2_3,R2_4,R3,R3_1,R3_2,R3_3,R3_4,TimerInvis_1,TimerInvis_2,TimerInvis_3,TimerInvis_4,NtvInvisibility_1,NtvInvisibility_2,NtvInvisibility_3,NtvInvisibility_4,NtvInvisibility_5,NtvInvisibility_6,NtvInvisibility_7,NtvInvisibility_8,TimerContempInvis_1,TimerContempInvis_2,TimerContempInvis_3,TimerContempInvis_4,NtvContemporaryInvis_1,NtvContemporaryInvis_2,NtvContemporaryInvis_3,NtvContemporaryInvis_4,NtvContemporaryInvis_5,NtvContemporaryInvis_6,TimerNtvRaceMini_1,TimerNtvRaceMini_2,TimerNtvRaceMini_3,TimerNtvRaceMini_4,NtvRacismMini_1,NtvRacismMini_2,NtvRacismMini_3,NtvRacismMini_4,NtvRacismMini_5,NtvRacismMini_6,NtvRacismMini_7,NtvRacismMini_8,NtvRacismMini_9,NtvRacismMini_10,TimerNGoveRep_1,TimerNGoveRep_2,TimerNGoveRep_3,TimerNGoveRep_4,NtvGovtRep_1,NtvGovtRep_2,NtvGovtRep_3,NtvGovtRep_4,NtvGovtRep_5,NtvGovtRep_6,NtvGovtRep_7,NtvGovtRep_8,NtvGovtRep_9,RFCommon,RFMediaCoverage,BFCommon,BFMediaCoverage,RFImportant,BFImportant,OE_Respond,SES,BorninUS,Q107,BornWhere,MovedtoUSAge,LongestState,LengthState,FatherUSBorn,MotherUSBorn,PrimaryCaretaker,PrimaryCaretaker_TEXT,PrimaryEd,SecondCaretaker,SecondCaretaker_TEXT,SecondEdu,Age,Religion,Religion_TEXT,Religiosity,LibCon,Q176,Debrief,MTurkCode,DO-BR-FL_466,DO-BR-FL_463,DO-BR-FL_459,DO-BR-FL_455,DO-BR-FL_451,DO-BR-FL_443,DO-BR-FL_285,DO-BR-FL_290,DO-BR-FL_376,DO-BR-FL_391,DO-BR-FL_401,DO-BR-FL_306,DO-BR-FL_381,DO-BR-FL_409,DO-BR-FL_415,DO-BR-FL_419,DO-BR-FL_428,DO-BR-FL_434,DO-BR-FL_439,DO-BL-Commonality,DO-BL-Importance,DO-Q-NtvInvisibility1,DO-Q-BlackInvis1,DO-Q-NtvRaceMini,DO-Q-BlkRaceMini,DO-Q-NtvInvisibility2,DO-Q-BlackInvis2,DO-Q-BlkGovRep,DO-Q-NtvGovRep,LocationLatitude,LocationLongitude,LocationAccuracy
R_3pov0qgDiKPawPo,Default Response Set,Anonymous,,,191.101.212.216,0,4/30/2019 12:07,4/30/2019 12:14,1,Greg,Mathew,Allison,Claire,Emily,Kristen,R_3pov0qgDiKPawPo,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,3,5,7,5,1,4,5,3,6,1,6,7,5,3,1.432,8.327,9.302,8,2,4,4,3,5,4,5,4,1.528,7.213,8.15,6,5,4,5,7,3,3,1.301,10.299,10.923,11,5,5,5,7,6,4,4,6,2,3,1.044,9.191,9.883,9,4,3,6,3,6,3,7,5,5,1,1,6,6,3,2,1,7,3,2,5,1,4,6,5,5,1.06,7.23,8.519,8,4,1,5,5,3,2,2,3,1.324,6.343,7.104,6,3,3,5,7,4,4,1.801,9.727,11.801,10,5,3,2,3,7,5,6,3,5,6,3.672,11.547,13.084,10,2,5,4,3,7,6,5,6,3,3,4,2,5,5,2,,4,1,0,,,,26,1,1,2,,4,3,,4,26,3,,6,5,,1,1,FL_467,FL_464,FL_461,FL_457,FL_454,FL_445,FL_288,B3|B1|B2,Black Gov Rep|Black Minimization,R1|R3|R2,Native Minimization|Native Gov Rep,,,,,,,,,RFCommon|RFMediaCoverage|BFCommon|BFMediaCoverage,BFImportant|RFImportant,1|7|4|5|6|2|8|3,6|5|1|8|4|7|3|2,4|10|9|1|3|8|6|5|7|2,6|2|9|4|1|5|7|10|8|3,4|5|1|3|2|6,3|5|2|4|1|6,4|5|9|7|2|1|3|8|6,2|9|3|5|8|4|1|7|6,39.78450012,-104.9642029,-1
R_3oRy6wpvbiIyABK,Default Response Set,Anonymous,,,65.211.20.74,0,4/30/2019 12:06,4/30/2019 12:14,1,Greg,Anne,Brett,Claire,Emily,Kristen,R_3oRy6wpvbiIyABK,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,5,5,4,5,1,5,4,4,4,1,5,5,4,4,1.116,7.683,12.743,8,4,3,3,4,3,3,3,3,1.33,8.465,9.076,8,4,4,5,4,5,5,3.115,14.106,15.553,10,4,4,4,4,4,4,4,4,4,4,1.086,9.862,10.633,9,4,5,4,4,4,4,4,4,4,1,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4.98,16.363,17.745,9,2,2,2,2,2,2,2,2,2.958,7.302,8.018,6,4,4,4,4,4,4,1.194,12.881,13.518,10,4,4,4,4,5,4,4,4,4,5,2.176,11.695,12.622,9,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,"No, they are both heinous acts.",2,1,1,I was born in the US,I was born in the US,New Jersey,25,1,1,1,,2,3,,2,25,1,,4,4,Nothing to add.,1,1,FL_467,FL_465,FL_460,FL_457,FL_454,FL_445,FL_288,B1|B2|B3,Black Minimization|Black Gov Rep,R1|R3|R2,Native Minimization|Native Gov Rep,,,,,,,,,RFMediaCoverage|RFCommon|BFMediaCoverage|BFCommon,RFImportant|BFImportant,4|6|5|2|1|7|8|3,5|3|8|6|7|4|2|1,9|4|10|5|3|7|8|6|1|2,3|10|6|5|4|2|9|1|8|7,5|2|3|1|4|6,1|4|2|3|5|6,5|4|3|1|7|9|6|8|2,5|2|3|8|7|4|9|6|1,39.91569519,-75.06340027,-1
R_BLfB2l5RgeAhkYh,Default Response Set,Anonymous,,,71.73.76.53,0,4/30/2019 12:11,4/30/2019 12:14,1,Greg,Mathew,Brett,Claire,Connor,Wyatt,R_BLfB2l5RgeAhkYh,,,,,,,,,1,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_457,FL_453,FL_444,,,,,,,,,,,,,,,,,,,,,,,,41.5881958,-81.54679871,-1
R_3O0NznOlviXo3Pe,Default Response Set,Anonymous,,,70.171.162.140,0,4/30/2019 12:14,4/30/2019 12:14,1,Sarah,Anne,Brett,Claire,Connor,Kristen,R_3O0NznOlviXo3Pe,,,,,,,,,1,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_468,FL_465,FL_460,FL_457,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,41.24420166,-95.9598999,-1
R_2EzW5IvDIXR8w9Q,Default Response Set,Anonymous,,,68.53.26.96,0,4/30/2019 12:14,4/30/2019 12:14,1,Greg,Anne,Brett,Claire,Emily,Kristen,R_2EzW5IvDIXR8w9Q,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_465,FL_460,FL_457,FL_454,FL_445,,,,,,,,,,,,,,,,,,,,,,,,36.1867981,-86.50669861,-1
R_3MmvT80sF5tysTF,Default Response Set,Anonymous,,,66.26.231.213,0,4/30/2019 12:05,4/30/2019 12:14,1,Sarah,Anne,Allison,Todd,Emily,Kristen,R_3MmvT80sF5tysTF,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,2,7,3,4,1,2,7,4,4,1,1,7,1,6,9.026,41.444,42.138,8,4,2,2,3,3,2,3,3,7.62,29.704,30.261,7,1,7,1,1,2,3,5.219,41.518,41.773,11,3,4,2,6,6,5,5,2,3,2,6.318,45.896,46.688,11,5,5,4,3,5,5,3,7,6,1,1,7,1,4,1,1,5,2,4,4,1,3,2,1,4,2.779,22.568,23.677,9,1,1,1,1,1,1,1,1,2.502,17.066,17.603,7,7,2,4,7,7,6,3.804,28.907,29.435,12,1,7,1,7,7,6,4,4,5,4,2.923,28.566,30.779,10,1,3,1,6,4,2,7,4,5,3,1,4,5,6,6,"I do think people respond differently, i feel that way because no one seems to talk about native american's or at least as much as African Americans.",2,1,1,N/A,N/A,North Carolina,28,1,1,1,,2,1,,1,28,1,,1,6,Everything about the study was fine and easy to understand.,1,1,FL_468,FL_465,FL_461,FL_456,FL_454,FL_445,FL_288,B2|B1|B3,Black Minimization|Black Gov Rep,R1|R2|R3,Native Minimization|Native Gov Rep,,,,,,,,,RFMediaCoverage|RFCommon|BFCommon|BFMediaCoverage,RFImportant|BFImportant,4|7|5|2|1|6|3|8,6|3|4|2|8|1|5|7,9|5|2|10|1|3|4|7|8|6,4|6|5|3|9|2|10|1|7|8,5|2|4|3|1|6,4|3|2|5|1|6,3|5|6|9|8|1|4|2|7,7|8|6|2|5|4|9|3|1,36.04029846,-80.19329834,-1
R_1Ner09MF5oAFDlj,Default Response Set,Anonymous,,,184.223.115.228,0,4/30/2019 12:14,4/30/2019 12:14,1,Sarah,Anne,Allison,Claire,Emily,Wyatt,R_1Ner09MF5oAFDlj,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_468,FL_465,FL_461,FL_457,FL_454,FL_444,,,,,,,,,,,,,,,,,,,,,,,,44.91520691,-93.32219696,-1
R_1LXWpjMSWfvilf3,Default Response Set,Anonymous,,,47.34.232.31,0,4/30/2019 12:06,4/30/2019 12:14,1,Sarah,Mathew,Allison,Todd,Emily,Wyatt,R_1LXWpjMSWfvilf3,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,6,6,5,5,1,6,5,5,5,1,5,6,5,6,1.203,7.059,8.141,9,2,2,4,2,3,3,3,3,1.937,6.321,7.471,6,5,5,4,5,5,6,1.2,8.44,9.96,10,5,5,5,5,5,5,5,5,5,5,1.297,10.492,11.256,11,5,5,5,5,5,5,6,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1.625,7.137,8.257,9,2,3,3,3,3,4,3,3,1.512,4.395,5.689,6,5,5,5,5,5,5,1.366,9.151,9.993,11,5,5,5,5,5,5,5,5,5,5,0.949,7.1,8.496,9,5,5,5,5,5,5,5,5,5,2,2,2,1,4,4,,5,1,1,borne USA,N/A,California,44,3,1,1,,5,3,,5,44,3,,7,4,Very good,1,1,FL_468,FL_464,FL_461,FL_456,FL_454,FL_444,FL_288,B1|B2|B3,Black Gov Rep|Black Minimization,R3|R1|R2,Native Minimization|Native Gov Rep,,,,,,,,,BFCommon|RFCommon|RFMediaCoverage|BFMediaCoverage,BFImportant|RFImportant,1|4|6|7|8|2|3|5,3|7|5|8|6|1|4|2,9|4|8|7|5|1|3|6|2|10,8|4|7|10|2|1|3|5|6|9,3|1|4|5|2|6,3|1|4|2|5|6,7|2|6|3|5|8|9|1|4,1|7|5|6|4|8|3|2|9,34.13540649,-117.598999,-1
R_3fBo2FS45uXJImR,Default Response Set,Anonymous,,,99.19.72.18,0,4/30/2019 12:13,4/30/2019 12:14,1,Sarah,Anne,Allison,Todd,Connor,Wyatt,R_3fBo2FS45uXJImR,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_468,FL_465,FL_461,FL_456,FL_453,FL_444,,,,,,,,,,,,,,,,,,,,,,,,34.74560547,-92.34190369,-1
R_2XmHU6Lxuct3Xv8,Default Response Set,Anonymous,,,184.176.108.66,0,4/30/2019 12:05,4/30/2019 12:14,1,Sarah,Mathew,Allison,Claire,Connor,Kristen,R_2XmHU6Lxuct3Xv8,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,1,7,1,7,1,1,7,1,7,1,1,7,1,7,7.412,26.342,27.276,8,3,3,3,4,4,3,3,3,3.04,16.712,17.681,7,1,7,1,2,1,2,3.075,28.366,29.417,11,1,7,1,7,7,7,7,1,1,1,2.64,30.082,30.591,11,1,3,1,7,1,1,7,1,7,1,1,1,5,1,7,1,1,5,1,7,1,1,5,1,7,4.478,32.406,33.453,8,2,3,2,3,2,2,3,3,3.145,20.927,21.914,9,2,6,1,3,5,3,3.296,32.115,32.922,10,1,7,1,7,7,7,7,1,1,1,12.545,38.387,40.166,10,1,5,1,7,1,2,7,2,7,3,2,3,3,7,7,I think blackface has a stronger stigma and is simply talked about more. Issues surrounding Native Americans are less visible to many people.,2,1,1,,,FL,19,1,1,1,,5,3,,4,30,1,,2,7,,1,1,FL_468,FL_464,FL_461,FL_457,FL_453,FL_445,FL_304,,,,,R1|R2|R3,Native Minimization|Native Gov Rep,B3|B2|B1,Black Gov Rep|Black Minimization,,,,,RFCommon|BFMediaCoverage|BFCommon|RFMediaCoverage,BFImportant|RFImportant,7|4|2|6|5|1|3|8,6|4|5|8|7|1|3|2,10|8|2|1|4|3|7|9|5|6,6|3|7|5|4|8|2|9|1|10,5|4|3|1|2|6,1|5|2|4|3|6,4|5|8|9|2|7|3|6|1,7|5|1|9|3|8|4|2|6,33.42939758,-112.3896027,-1
R_1GNBsLiECwU5dDf,Default Response Set,Anonymous,,,65.249.163.127,0,4/30/2019 12:14,4/30/2019 12:15,1,Greg,Mathew,Allison,Todd,Connor,Wyatt,R_1GNBsLiECwU5dDf,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_461,FL_456,FL_453,FL_444,,,,,,,,,,,,,,,,,,,,,,,,37.75100708,-97.8219986,-1
R_1Q9hPYWUHcnoQKB,Default Response Set,Anonymous,,,174.107.166.113,0,4/30/2019 12:08,4/30/2019 12:15,1,Sarah,Mathew,Brett,Claire,Emily,Kristen,R_1Q9hPYWUHcnoQKB,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,1,7,1,6,1,1,6,1,6,1,1,7,1,6,4.956,15.028,16.159,8,3,3,3,4,3,3,3,3,1.995,9.803,10.602,6,1,7,1,2,1,1,1.95,17.095,17.914,10,2,7,2,7,7,7,7,1,1,1,1.849,17.92,19.014,12,1,3,1,7,2,1,6,5,7,,1,1,4,1,6,1,1,4,1,6,1,1,5,1,6,3.247,14.239,15.074,8,3,4,4,4,4,4,3,3,2.171,9.947,10.926,6,1,6,1,6,1,1,1.964,20.316,21.066,10,3,7,3,7,7,7,6,1,1,1,2.611,17.611,18.352,9,1,4,1,7,3,1,5,5,7,4,3,3,3,7,7,"Blackface is pretty much universally reviled at this point. you don't really have to explain to someone why it's wrong. Redface is more accepted. I had to make a complaint at my daughter's school because they were planning to dress up as ""Indians"" at Thanksgiving. No, they weren't planning on painting themselves, but I think it still qualifies. Despite being a diverse group of peoples and really a national identity rather than a race, Native Americans are still seen as an acceptable costume and it's really hard to explain to people why that isn't okay.",5,1,1,,,California,18,1,1,1,,5,3,,5,32,3,,7,7,,1,1,FL_468,FL_464,FL_460,FL_457,FL_454,FL_445,FL_418,,,,,,,,,R2|R1|B3|R3|B1|B2,FL_429|FL_430,Native Minimization|Native Gov Rep,Black Gov Rep|Black Minimization,RFMediaCoverage|BFMediaCoverage|RFCommon|BFCommon,RFImportant|BFImportant,3|2|4|1|5|6|8|7,2|1|6|8|7|5|4|3,10|4|9|8|6|7|5|1|3|2,9|4|2|10|7|3|8|5|1|6,2|4|3|5|1|6,1|2|5|4|3|6,6|8|2|3|7|4|9|1|5,1|8|4|7|5|9|6|3|2,34.12309265,-79.68930054,-1
R_1DGwWChnox3SlSA,Default Response Set,Anonymous,,,172.6.129.9,0,4/30/2019 12:14,4/30/2019 12:15,1,Greg,Anne,Brett,Todd,Emily,Kristen,R_1DGwWChnox3SlSA,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_465,FL_460,FL_456,FL_454,FL_445,,,,,,,,,,,,,,,,,,,,,,,,34.04469299,-118.2946014,-1
R_9WtwwLTPCY5WFQB,Default Response Set,Anonymous,,,71.91.144.93,0,4/30/2019 12:15,4/30/2019 12:15,1,Greg,Anne,Brett,Todd,Connor,Wyatt,R_9WtwwLTPCY5WFQB,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_465,FL_460,FL_456,FL_453,FL_444,,,,,,,,,,,,,,,,,,,,,,,,30.51159668,-92.39849854,-1
R_3nwk76mlygzL9mr,Default Response Set,Anonymous,,,199.227.2.5,0,4/30/2019 12:15,4/30/2019 12:15,1,Greg,Mathew,Brett,Todd,Emily,Kristen,R_3nwk76mlygzL9mr,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_456,FL_454,FL_445,,,,,,,,,,,,,,,,,,,,,,,,28.51400757,-81.35700226,-1
R_1NmEKREEUOlBLKg,Default Response Set,Anonymous,,,65.96.120.195,0,4/30/2019 12:09,4/30/2019 12:15,1,Sarah,Anne,Brett,Claire,Emily,Wyatt,R_1NmEKREEUOlBLKg,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,3,2,4,5,1,3,5,3,3,1,3,3,3,2,0,0,12.686,0,3,3,3,2,2,2,2,3,0,0,6.374,0,3,2,2,3,2,2,0,0,9.197,0,2,3,4,2,2,3,2,2,3,3,0,0,8.77,0,3,3,3,4,4,3,2,2,2,1,1,4,3,4,3,1,3,5,3,5,1,5,3,4,6,0,0,12.19,0,4,2,3,2,2,3,2,2,7.347,7.347,12.125,1,3,3,3,2,4,3,0,0,9.703,0,4,3,5,5,3,3,4,3,3,3,0,0,10.591,0,3,4,5,3,3,4,3,3,3,3,3,2,3,4,3,Yes blackface is scarier than redface becasue black is demonic.,4,1,1,na,na,Connecticut,22,1,1,2,,4,2,,2,22,2,,3,4,thanks,1,1,FL_468,FL_465,FL_460,FL_457,FL_454,FL_444,FL_304,,,,,R3|R2|R1,Native Gov Rep|Native Minimization,B2|B3|B1,Black Minimization|Black Gov Rep,,,,,RFMediaCoverage|RFCommon|BFMediaCoverage|BFCommon,RFImportant|BFImportant,1|3|8|2|5|7|4|6,2|5|8|7|3|4|6|1,7|6|5|3|8|1|10|4|9|2,10|4|3|5|6|7|9|8|2|1,2|1|4|3|5|6,5|4|2|3|1|6,5|7|1|4|3|8|2|9|6,2|9|8|3|1|7|4|6|5,41.68670654,-72.790802,-1
R_3hAMJUy4geWeVKC,Default Response Set,Anonymous,,,164.107.68.209,0,4/30/2019 12:04,4/30/2019 12:15,1,Greg,Mathew,Brett,Claire,Emily,Kristen,R_3hAMJUy4geWeVKC,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,1,5,1,6,1,1,5,2,5,1,1,7,1,6,7.242,32.002,32.896,10,3,2,3,4,3,3,2,1,4.096,16.696,17.598,6,2,6,1,3,2,3,4.768,33.625,34.446,10,3,5,3,5,6,5,5,1,2,2,4.564,31.652,32.273,10,2,4,2,6,2,3,5,4,6,1,1,1,5,2,6,1,2,5,2,6,1,1,6,1,6,8.744,36.424,38.43,8,2,2,2,3,3,2,1,1,3.298,18.922,19.928,6,3,4,2,4,5,5,3.229,55.606,57.004,12,3,4,2,5,5,4,4,3,3,3,8.204,40.277,41.492,10,3,4,3,5,3,3,5,5,5,2,1,4,3,6,6,"Yes, I think Redface is less common and therefore people just don't think about it. I have seen multiple instances of black face, usually for Halloween costumes, and it is always highly offensive. I have not seen the same for redface, although I have seen people dress in traditional Native American clothing which I also believe to be disrespectful. ",4,1,,N/A,N/A,Ohio,24,1,1,1,,3,3,,2,24,1,,1,6,N/A,1,1,FL_467,FL_464,FL_460,FL_457,FL_454,FL_445,FL_304,,,,,R2|R3|R1,Native Gov Rep|Native Minimization,B3|B1|B2,Black Minimization|Black Gov Rep,,,,,RFMediaCoverage|BFMediaCoverage|BFCommon|RFCommon,BFImportant|RFImportant,4|5|6|3|2|8|7|1,8|2|3|4|1|5|7|6,3|9|5|4|8|1|6|10|7|2,6|5|9|2|1|8|3|10|4|7,1|3|4|2|5|6,4|1|2|5|3|6,8|9|3|7|5|2|6|1|4,8|3|6|9|5|1|4|2|7,40.02330017,-83.08589935,-1
R_2BgSlSKcF2W7Zmn,Default Response Set,Anonymous,,,98.220.100.179,0,4/30/2019 12:14,4/30/2019 12:15,1,Greg,Anne,Brett,Claire,Connor,Kristen,R_2BgSlSKcF2W7Zmn,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_465,FL_460,FL_457,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,41.87330627,-88.11630249,-1
R_10Tw2ZsIgraSPoE,Default Response Set,Anonymous,,,174.29.35.115,0,4/30/2019 12:05,4/30/2019 12:15,1,Greg,Anne,Brett,Todd,Emily,Wyatt,R_10Tw2ZsIgraSPoE,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,7,2,1,2,1,7,6,1,3,1,7,6,1,2,5.044,31.111,31.925,8,1,1,1,3,2,1,1,1,3.122,14.293,15.035,6,1,7,1,2,1,3,2.629,25.568,27.464,10,1,7,1,7,7,7,7,1,1,1,3.387,22.355,23.71,9,1,1,1,7,1,1,7,5,7,,1,7,2,1,2,1,7,2,1,2,1,7,2,1,2,8.652,26.652,27.303,8,2,1,1,1,1,1,1,1,7.036,19.412,20.647,6,1,7,1,5,5,6,3.301,33.295,35.165,10,1,6,1,7,7,7,6,1,1,1,8.189,43.931,44.89,11,1,3,1,7,3,1,7,3,7,3,2,3,3,5,5,"I think people are more sensitive to Blackface because of the Black Lives Matter movement and police mis-treatment of African Americans in general.  Redface is commonly connected with sporting events like the Washington Redskins, etc. and since the Native American people do not have a ""Black Lives Matter"" movement to address their own concerns, Native American neglect is not getting the media attention that African Americans are getting.",4,1,,,,Wisconsin,32,1,1,3,,1,2,,2,48,1,,1,7,,1,1,FL_467,FL_465,FL_460,FL_456,FL_454,FL_444,FL_418,,,,,,,,,R1|R2|B3|R3|B2|B1,FL_429|FL_430,Native Minimization|Native Gov Rep,Black Minimization|Black Gov Rep,RFCommon|BFCommon|BFMediaCoverage|RFMediaCoverage,BFImportant|RFImportant,5|6|2|8|7|4|1|3,8|2|1|6|3|5|7|4,4|6|2|10|1|7|9|8|3|5,8|2|1|4|10|3|5|6|7|9,3|1|2|5|4|6,4|2|1|3|5|6,2|5|9|7|4|1|3|6|8,5|2|4|1|9|7|6|8|3,40.38499451,-104.680603,-1
